Slide	Para	Section
1	0;1;2;3;4;5	Title
2	14;226	1. INTRODUCTION
3	19	1. INTRODUCTION
4	na	Outline
5	36	3.1 Aggregation and Smoothing
6	52	3.2.2 Segmentation
7	49	3.3 Online segmentation and pruning
8	54;55;56;57;58;59;60;61;62;63;64	3.3 Online segmentation and pruning
9	77	3.3 Online segmentation and pruning
10	na	Outline
11	223	4.1 Subsequence similarity
12	125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171	4.1 Subsequence similarity
13	125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171	4.1 Subsequence similarity
14	na	Outline
15	238	5. TREND PREDICTION
16	na	Outline
17	257	6. PERFORMANCE EVALUATION
18	272;259	6. PERFORMANCE EVALUATION
19	na	Outline
20	275	7. CONCLUSIONS & FUTURE WORK
