Slide	Para	Section	Comments
1	0;1;2	Title 	
2	na	Outline	
3	3;5	1 Introduction	
4	35;36;37;38;39	1 Introduction	
5	13	2 User Access Event and User Access Graph	
6	22;23;24	2 User Access Event and User Access Graph	
7	5	3 Usages of User Access Patterns	
8	8	3 Usages of User Access Patterns	
9	na	-	Example not found
10	na	-	
11	na	-	
12	na	-	Extra
13	na	-	
14	na	-	
15	na	-	Extra
16	na	-	Extra
17	na	-	Extra
18	na	-	Extra
19	na	-	Extra
20	na	-	Extra
21	na	-	Extra
22	41	3 Usages of User Access Patterns	
23	na	-	Extra
24	na		
25	na	5 RelatedWork	
26	na	-	Extra
27	na	-	Extra
28	na	-	Extra
29	na	-	Extra
30	68	4.3 Experiment Results for TPC-W Benchmark	
31	48	3 Usages of User Access Patterns	
32	48	"4.1 SQL-Relay: an Event-driven, Rule-based Database Gateway"
33	81	5 RelatedWork
34	84	References
35	83	6 Conclusion
