Slide	Para	Section
1	0;1;2;3	Title
2	10;11	1. INTRODUCTION
3	na	Outline
4	44;45;46;47;48;49;50;51;52;53;54;55;56;57	2. BACKGROUND
5	60;61;62;63;64	3.1 General Graph­Synopsis Model
6	60;61;62;63;64	3.1 General Graph­Synopsis Model
7	60;61;62;63;64	3.1 General Graph­Synopsis Model
8	66	3.1 General Graph­Synopsis Model
9	110	3.2 Count­Stability and the TREESKETCH Synopsis
10	112	3.2 Count­Stability and the TREESKETCH Synopsis
11	112;113;114	3.2 Count­Stability and the TREESKETCH Synopsis
12	116	3.2 Count­Stability and the TREESKETCH Synopsis
13	86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108	3.2 Count­Stability and the TREESKETCH Synopsis
14	119	3.2 Count­Stability and the TREESKETCH Synopsis
15	120	3.2 Count­Stability and the TREESKETCH Synopsis
16	122	3.2 Count­Stability and the TREESKETCH Synopsis	
17	123;124	3.2 Count­Stability and the TREESKETCH Synopsis	
18	na	3.2 Count­Stability and the TREESKETCH Synopsis	
19	124	3.2 Count­Stability and the TREESKETCH Synopsis	
20	125	3.2 Count­Stability and the TREESKETCH Synopsis	
21	130	4.1 Building the Count­Stable Summary	
22	134	4.2 Building TREESKETCH Synopses	
23	na	-	Extra e.g
24	137;138	4.2 Building TREESKETCH Synopses	
25	143	4.2 Building TREESKETCH Synopses	
26	144	4.2 Building TREESKETCH Synopses	
27	141	4.2 Building TREESKETCH Synopses	
28	148;149;150;151;152;153;154	4.2 Building TREESKETCH Synopses	
29	146	4.2 Building TREESKETCH Synopses	
30	155	4.3 Approximate Query Processing	
31	162	4.3 Approximate Query Processing	
32	163	4.3 Approximate Query Processing
33	173	4.3 Approximate Query Processing
34	196	4.3 Approximate Query Processing
35	199;200	4.3 Approximate Query Processing
36	208	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
37	245	6. EXPERIMENTAL STUDY
38	239	6.1 Testbed and Methodology
39	258;268	6.2 Results
40	258;268	6.2 Results
41	258;268	6.2 Results
42	273	6.2 Results
43	208	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
44	209;210	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
45	210;225	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
46	227;228;229	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
47	226;229	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
48	229	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
49	229	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
50	235	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
51	237	5. AN ERROR METRIC FOR APPROXIMATE XML QUERY ANSWERS
52	na	Questions
53	na	Thank You
