Slide	Para	Section
1	0;1;2	Title
2	na	Outline
3	29;10	1. INTRODUCTION
4	26	2.1 Gigascope’s Two Level Architecture
5	na	Outline
6	39	2.2 Processing a Single Aggregation
7	39	2.2 Processing a Single Aggregation
8	39	2.2 Processing a Single Aggregation
9	39	2.2 Processing a Single Aggregation
10	39	2.2 Processing a Single Aggregation
11	39	2.2 Processing a Single Aggregation
12	39	2.3 Cost of Processing a Single Aggregation
13	na	Outline
14	54;55;56;57	2.4 Processing Multiple Aggregations Naively
15	72	2.5 Processing Multiple Aggregations Using Phantoms
16	75;76;77;78;79;80;81	2.5 Processing Multiple Aggregations Using Phantoms
17	87	2.5 Processing Multiple Aggregations Using Phantoms
18	na	Outline
19	140	3. PROBLEM FORMULATION
20	142	3.4 Algorithmic Strategies
21	142	3.4 Algorithmic Strategies
22	na	Outline
23	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
24	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
25	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
26	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
27	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
28	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
29	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
30	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
31	143;144;145;146;147;148;149;150	3.4.2 Greedy by Increasing Collision Rates
32	na	Outline
33	154;155;156;157;158;159;160;l61;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180	4. THE COLLISION RATE MODEL
34	218;219	4.4 On Computing Collision Rates
35	227	5.1 A Case of Two Levels
36	302;303;304;305;306;307	5.2 Heuristics
37	na	Outline
38	343	6.2 Evaluation of Space Allocation Strategies
39	349	6.3.1 Phantom Choosing Process
40	364	6.3.2 Validating Cost Estimation Framework
41	na	Outline
42	399	8. CONCLUSIONS
43	na	Questions
